"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 14:20:17 IST 2024","Tue May 14 14:21:15 IST 2024","58312","supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql","Test","net.testcases_worktimemodule.supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.SuperGroupBulkUploadDeleteMysql","net.testcases_worktimemodule.supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.SuperGroupBulkUploadDeleteMysql","superGroupBulkUploadDelete","Delete the SuperGroup and validate whether it has been successfully Deleted through BulkUpload.","Delete the SuperGroup and validate whether it has been successfully Deleted through BulkUpload."
"passed","Tue May 14 14:33:14 IST 2024","Tue May 14 14:33:23 IST 2024","9246","validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.WorkTemplateTableSortingValidation","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.WorkTemplateTableSortingValidation","workTemplateTableSortingValidation","WorkTemplate Table Sorting Validation.","WorkTemplate Table Sorting Validation."
"passed","Wed May 15 17:34:11 IST 2024","Wed May 15 17:34:39 IST 2024","28143","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerExportDataPermissionNotAllowUserToDemandOnMail","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerExportDataPermissionNotAllowUserToDemandOnMail","userRolesModifyManagerExportDataPermissionNotAllowUserToDemandOnMail","userRolesModifyManagerExportDataPermissionNotAllowUserToDemandOnMail","Test Description: Here we are verifying whether we are not able to send mail "
"passed","Tue May 14 17:56:49 IST 2024","Tue May 14 17:56:58 IST 2024","8582","softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.WorkStationwithMissingScanField","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.WorkStationwithMissingScanField","workStationwithMissingScanField","WorkStation with MissingScan Field","Work Station with Missing ScanField"
"passed","Tue May 14 17:58:29 IST 2024","Tue May 14 17:58:38 IST 2024","9031","softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitionForSoftwareTagsExcelexport","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitionForSoftwareTagsExcelexport","softwareDefinitationForSoftwareTagsCURD","SoftwareDefinition For SoftwareTags Excelexport","Software Definition For SoftwareTags Excelexport"
"passed","Tue May 14 14:39:20 IST 2024","Tue May 14 14:39:28 IST 2024","7337","Suite","ie","net.testcases_superadmin.ClientsLogs","net.testcases_superadmin.ClientsLogs","clientsLogs","clientsLogs","Test Description: Distribution cache selecting all and clearing all"
"passed","Tue May 14 13:07:42 IST 2024","Tue May 14 13:08:03 IST 2024","20911","supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql","Test","net.testcases_worktimemodule.supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.AddSuperGroupInMysql","net.testcases_worktimemodule.supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.AddSuperGroupInMysql","addSuperGroupInMysql","Add the SuperGroup and validate if it has been successfully added.","Add the SuperGroup and validate if it has been successfully added."
"passed","Tue May 14 14:34:59 IST 2024","Tue May 14 14:35:07 IST 2024","7819","Suite","ie","net.testcases_superadmin.PartitionManagerWithMissedEmail","net.testcases_superadmin.PartitionManagerWithMissedEmail","partitionManagerWithMissedEmail","partitionManagerWithMissedEmail","Test Description:partition manager with missing email"
"passed","Tue May 14 14:39:39 IST 2024","Tue May 14 14:39:47 IST 2024","7960","Suite","ie","net.testcases_superadmin.DataComponentsRefresh","net.testcases_superadmin.DataComponentsRefresh","dataComponentsRefresh","dataComponentsRefresh","Test Description: Data Components refresh btn validation "
"passed","Tue May 14 14:33:10 IST 2024","Tue May 14 14:33:21 IST 2024","10571","Suite","ie","net.testcases_superadmin.CustomAdapterCloseBtn","net.testcases_superadmin.CustomAdapterCloseBtn","customAdapterCloseBtn","customAdapterCloseBtn","Test Description: Custom Adapter close btn validation"
